translation	vocab	tag
||to do||to make||to produce||to write||to compose||to act as||to engage in||to hold (a party)||to be||to become||to function (in some capacity)||to serve as||to be used for||to form (a bond or relationship)||to pretend||to feign||to act a part||to put on appearance	做	hsk
||class||rank||grade||equal to||same as||to wait for||to await||et cetera||and so on||et al. (and other authors)||after||as soon as||once	等	hsk
||three||3	三	hsk
||Li (surname)|||<b>lǐ</b>||li, ancient measure of length, approx. 500 m||neighborhood||ancient administrative unit of 25 families||(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels|||<b>lǐ</b>||lining||interior||inside||internal||also written 裏|里[li3]	里	hsk
||to cross||to go over||to pass (time)||to celebrate (a holiday)||to live||to get along||excessively||too-|||<b>guo</b>||(experienced action marker)	过	hsk
||that||those||then (in that case)||commonly pr. [nei4] before a classifier, esp. in Beijing	那	hsk
||back||behind||rear||afterwards||after||later||post-|||<b>hòu</b>||empress||queen||(archaic) monarch||ruler	后	hsk
||to think||to believe||to suppose||to wish||to want||to miss (feel wistful about the absence of sb or sth)	想	hsk
||earth||ground||field||place||land||CL:片[pian4]|||<b>de</b>||-ly || structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct	地	hsk
||to use||to employ||to have to||to eat or drink||expense or outlay||usefulness||hence||therefore	用	hsk
||to go out||to come out||to occur||to produce||to go beyond||to rise||to put forth||to happen||(used after a verb to indicate an outward direction or a positive result)||classifier for dramas, plays, operas etc	出	hsk
||to appear||present||now||existing||current	现	hsk
||next in sequence||second||the second (day, time etc)||secondary||vice-||sub-||infra-||inferior quality||substandard||order||sequence||hypo- (chemistry)||classifier for enumerated events: time	次	hsk
||most||the most||-est (superlative suffix)	最	hsk
||what	什	hsk
||suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc	么	hsk
||small||tiny||few||young	小	hsk
||moon||month||monthly||CL:個|个[ge4],輪|轮[lun2]	月	hsk
||day||sky||heaven	天	hsk
||work||worker||skill||profession||trade||craft||labor	工	hsk
||to do||to grow||to write or compose||to pretend||to regard as||to feel||writings or works	作	hsk
||home||family||(polite) my (sister, uncle etc)||classifier for families or businesses||refers to the philosophical schools of pre-Han China||noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian||CL:個|个[ge4]	家	hsk
||again||once more||re-||second||another||then (after sth, and not until then)||no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)	再	hsk
||front||forward||ahead||first||top (followed by a number)||future||ago||before||BC (e.g. 前293年)||former||formerly	前	hsk
||abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]||surname Xin|||<b>xīn</b>||new||newly||meso- (chemistry)	新	hsk
||to wait||to inquire after||to watch||season||climate||(old) period of five days	候	hsk
||classifier indicating a small amount or small number greater than 1: some, a few, several	些	hsk
||Belgium||Belgian||abbr. for 比利時|比利时[Bi3 li4 shi2]|||<b>bǐ</b>||to compare||(followed by a noun and adjective) more {adj.} than {noun}||ratio||to gesture||(Taiwan pr. [bi4] in some compounds derived from Classical Chinese)	比	hsk
||to walk||to go||to run||to move (of vehicle)||to visit||to leave||to go away||to die (euph.)||from||through||away (in compound verbs, such as 撤走[che4 zou3])||to change (shape, form, meaning)	走	hsk
||highest||greatest||too (much)||very||extremely	太	hsk
||to try to find||to look for||to call on sb||to find||to seek||to return||to give change	找	hsk
||four||4	四	hsk
||how much||how many||several||a few|||<b>jī</b>||almost|||<b>jī</b>||small table	几	hsk
||root||stem||origin||source||this||the current||original||inherent||originally||classifier for books, periodicals, files etc	本	hsk
||to beat||to strike||to hit||to break||to type||to mix up||to build||to fight||to fetch||to make||to tie up||to issue||to shoot||to calculate||to play (a game)||since||from|||<b>dá</b>||dozen (loanword)	打	hsk
"||particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")||particle for inquiring about location (""Where is ...?"")||particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?"")||(at the end of a declarative sentence) particle indicating continuation of a state or action||particle indicating strong affirmation"	呢	hsk
