translation	vocab	tag
||face||side||surface||aspect||top||classifier for objects with flat surfaces such as drums, mirrors, flags etc|||<b>miàn</b>||flour||noodles||(of food) soft (not crunchy)||(slang) (of a person) ineffectual||spineless	面	hsk
||elder brother	哥	hsk
||tea||tea plant||CL:杯[bei1],壺|壶[hu2]	茶	hsk
||slow	慢	hsk
||star||heavenly body||satellite||small amount	星	hsk
||a period of time||phase||stage||classifier for issues of a periodical, courses of study||time||term||period||to hope||Taiwan pr. [qi2]	期	hsk
||large place used for a specific purpose||stage||scene (of a play)||classifier for sporting or recreational activities||classifier for number of exams	场	hsk
||younger sister	妹	hsk
||fire||urgent||ammunition||fiery or flaming||internal heat (Chinese medicine)||hot (popular)||classifier for military units (old)||Kangxi radical 86	火	hsk
||younger brother||junior male||I (modest word in letter)	弟	hsk
||clean||completely||only||net (income, exports etc)||(Chinese opera) painted face male role	净	hsk
||breast||milk||to breastfeed|||<b>nǎi</b>||mother||variant of 奶[nai3]	奶	hsk
||to be hungry||hungry||to starve (sb)	饿	hsk
||fruit||result||resolute||indeed||if really	果	hsk
||diagram||picture||drawing||chart||map||CL:張|张[zhang1]||to plan||to scheme||to attempt||to pursue||to seek	图	hsk
||inn||shop||store||CL:家[jia1]	店	hsk
||grandpa||old gentleman	爷	hsk
||ox||cow||bull||CL:條|条[tiao2],頭|头[tou2]||newton (abbr. for 牛頓|牛顿[niu2 dun4])||(slang) awesome	牛	hsk
||commerce||merchant||dealer||to consult||2nd note in pentatonic scale||quotient (as in 智商[zhi4 shang1], intelligence quotient)|||<b>Shāng</b>||Shang Dynasty (c. 1600-1046 BC)||surname Shang	商	hsk
||building||shop||term for certain service establishments||embassy or consulate||schoolroom (old)||CL:家[jia1]	馆	hsk
||language||culture||writing||formal||literary||gentle||(old) classifier for coins||Kangxi radical 67	文	hsk
||table||desk||classifier for tables of guests at a banquet etc	桌	hsk
||fowl||chicken||CL:隻|只[zhi1]||(slang) prostitute	鸡	hsk
||egg||CL:個|个[ge4],打[da2]||oval-shaped thing	蛋	hsk
||to play||to have fun||to trifle with||toy||sth used for amusement||curio or antique (Taiwan pr. [wan4])||to keep sth for entertainment	玩	hsk
||system||department||faculty|||<b>xì</b>||to connect||to arrest||to worry|||<b>xì</b>||to connect||to relate to||to tie up||to bind||to be (literary)|||<b>jì</b>||to tie||to fasten||to button up	系	hsk
||vacation|||<b>jiǎ</b>||fake||false||artificial||to borrow||if||suppose	假	hsk
||dialect||language||speech	语	hsk
||Han ethnic group||Chinese (language)||the Han dynasty (206 BC-220 AD)|||<b>hàn</b>||man	汉	hsk
||customer||visitor||guest	客	hsk
||thirsty	渴	hsk
||rice||CL:粒[li4]||meter (classifier)	米	hsk
||strip||item||article||clause (of law or treaty)||classifier for long thin things (ribbon, river, road, trousers etc)	条	hsk
||of||~'s (possessive particle)||(used after an attribute)||(used to form a nominal expression)||(used at the end of a declarative sentence for emphasis)||also pr. [di4] or [di5] in poetry and songs	的	hsk
||(completed action marker)||(modal particle indicating change of state, situation now)||(modal particle intensifying preceding clause)	了	hsk
||is||are||am||yes||to be|||<b>shì</b>||variant of 是[shi4]||(used in given names)	是	hsk
||individual||this||that||size||classifier for people or objects in general|||<b>gè</b>||variant of 個|个[ge4]	个	hsk
"||and||together with||with||sum||union||peace||harmony||Taiwan pr. [han4] when it means ""and"" or ""with""|||<b>hé</b>||old variant of 和[he2]|||<b>hé</b>||old variant of 和[he2]||harmonious|||<b>Hé</b>||surname He||Japanese (food, clothes etc)"	和	hsk
||also||too||(in Classical Chinese) final particle implying affirmation|||<b>Yě</b>||surname Ye	也	hsk
||to speak||to say||to explain||to scold||to tell off||a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)|||<b>shuō</b>||variant of 說|说[shuo1]	说	hsk
||we||us||ourselves||our	我们	hsk
||all||both||entirely||(used for emphasis) even||already||(not) at all	都	hsk
||important||vital||to want||to ask for||will||going to (as future auxiliary)||may||must||(used in a comparison) must be||probably||if	要	hsk
||can (i.e. have the skill, know how to)||likely to||sure to||to meet||to get together||meeting||gathering||union||group||association||a moment (Taiwan pr. for this sense is [hui3])	会	hsk
||aspect particle indicating action in progress	着	hsk
||surname Huan|||<b>huán</b>||to pay back||to return	还	hsk
||still||still in progress||still more||yet||even more||in addition||fairly||passably (good)||as early as||even||also||else	还	hsk
||haven't||hasn't||doesn't exist||to not have||to not be	没有	hsk
||good||well||proper||good to||easy to||very||so||(suffix indicating completion or readiness)||(of two people) close||on intimate terms||(after a personal pronoun) hello	好	hsk
||China||Chinese||surname Zhong|||<b>zhōng</b>||within||among||in||middle||center||while (doing sth)||during||(dialect) OK||all right	中	hsk
||grain||harvest (old)||variant of 年[nian2]|||<b>Nián</b>||surname Nian|||<b>nián</b>||year||CL:個|个[ge4]	年	hsk
||they	他们	hsk
||to||for||for the benefit of||to give||to allow||to do sth (for sb)||(grammatical equivalent of 被)||(grammatical equivalent of 把)||(sentence intensifier)	给	hsk
||from||through||via||to follow||to obey||to engage in (an activity)||never (in negative sentence)||(Taiwan pr. [zong4]) retainer||assistant||auxiliary||subordinate||related by common paternal grandfather or earlier ancestor|||<b>Cóng</b>||surname Cong	从	hsk
||to see||to look at||to read||to watch||to visit||to call on||to consider||to regard as||to look after||to treat (an illness)||to depend on||to feel (that)||(after verb) to give it a try||Watch out! (for a danger)	看	hsk
||can||to be able to||might possibly||ability||(physics) energy|||<b>Néng</b>||surname Neng	能	hsk
||surname San|||<b>sān</b>||three||3	三	hsk
||Li (surname)|||<b>lǐ</b>||li, ancient measure of length, approx. 500 m||neighborhood||ancient administrative unit of 25 families||(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels|||<b>lǐ</b>||lining||interior||inside||internal||also written 裏|里[li3]|||<b>lǐ</b>||variant of 裡|里[li3]	里	hsk
||surname Guo|||<b>guò</b>||to cross||to go over||to pass (time)||to celebrate (a holiday)||to live||to get along||excessively||too-	过	hsk
||back||behind||rear||afterwards||after||later||post-|||<b>hòu</b>||empress||queen||(archaic) monarch||ruler|||<b>Hòu</b>||surname Hou	后	hsk
||-ly || structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct	地	hsk
||earth||ground||field||place||land||CL:片[pian4]	地	hsk
||to go out||to come out||to occur||to produce||to go beyond||to rise||to put forth||to happen||(used after a verb to indicate an outward direction or a positive result)||classifier for dramas, plays, operas etc|||<b>chū</b>||variant of 出[chu1] (classifier for plays or chapters of classical novels)	出	hsk
||now||at present||at the moment||modern||current||nowadays	现在	hsk
||most||the most||-est (superlative suffix)|||<b>zuì</b>||old variant of 最[zui4]|||<b>zuì</b>||variant of 最[zui4]	最	hsk
||what?||something||anything	什么	hsk
||to work||(of a machine) to operate||job||work||task||CL:個|个[ge4],份[fen4],項|项[xiang4]	工作	hsk
||home||family||(polite) my (sister, uncle etc)||classifier for families or businesses||refers to the philosophical schools of pre-Han China||noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian||CL:個|个[ge4]|||<b>jiā</b>||see 傢伙|家伙[jia1 huo5]	家	hsk
||(negative prefix for verbs)||have not||not	没	hsk
||time||period||CL:段[duan4]	时间	hsk
||time||length of time||moment||period	时候	hsk
||these	这些	hsk
||or||still||nevertheless||had better	还是	hsk
||to find	找到	hsk
||some||a few||a little||(following an adjective) slightly ...er	一些	hsk
||how much||how many||several||a few	几	hsk
||to beat||to strike||to hit||to break||to type||to mix up||to build||to fight||to fetch||to make||to tie up||to issue||to shoot||to calculate||to play (a game)||since||from	打	hsk
||furthermore||in addition||still||also	还有	hsk
||car||vehicle||CL:輛|辆[liang4]||machine||to shape with a lathe||Kangxi radical 159|||<b>Chē</b>||surname Che	车	hsk
||very||very much||unusual||extraordinary	非常	hsk
||to know||to become aware of||also pr. [zhi1 dao5]	知道	hsk
||to see	看到	hsk
||today||at the present||now	今天	hsk
||child	孩子	hsk
||high||tall||above average||loud||your (honorific)|||<b>Gāo</b>||surname Gao	高	hsk
||to think||to feel	觉得	hsk
||true||real	真的	hsk
||(modal particle indicating suggestion or surmise)||...right?||...OK?||...I presume.	吧	hsk
||dialect||language||spoken words||speech||talk||words||conversation||what sb said||CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]|||<b>huà</b>||old variant of 話|话[hua4]	话	hsk
||coin||money||CL:筆|笔[bi3]||unit of weight, one tenth of a tael 兩|两[liang3]|||<b>Qián</b>||surname Qian	钱	hsk
||in the same place||together||with||altogether (in total)	一起	hsk
||classifier for years (of age)||year||year (of crop harvests)|||<b>suì</b>||variant of 歲|岁[sui4], year||years old	岁	hsk
||to eat||to consume||to eat at (a cafeteria etc)||to eradicate||to destroy||to absorb||to suffer||to stammer (Taiwan pr. for this sense is [ji2])|||<b>chī</b>||variant of 吃[chi1]	吃	hsk
||on the body||at hand||among	身上	hsk
||important||significant||major	重要	hsk
||country||nation||state||CL:個|个[ge4]	国家	hsk
||(after a verb) indicating the beginning and continuation of an action or a state||indicating an upward movement (e.g. after 站[zhan4])||indicating completion||(after a perception verb, e.g. 看[kan4]) expressing preliminary judgment||also pr. [qi3 lai5]|||<b>qǐ lai</b>||to stand up||to get up||also pr. [qi3 lai2]	起来	hsk
||final||last||finally||ultimate	最后	hsk
||to like||to be fond of	喜欢	hsk
||how?||what?||why?|||<b>zěn me</b>||variant of 怎麼|怎么[zen3 me5]	怎么	hsk
||to divide||to separate||to distribute||to allocate||to distinguish (good and bad)||part or subdivision||fraction||one tenth (of certain units)||unit of length equivalent to 0.33 cm||minute (unit of time)||minute (angular measurement unit)||a point (in sports or games)||0.01 yuan (unit of money)	分	hsk
||to tell||to inform||to let know	告诉	hsk
||same||like||equal to||the same as||just like	一样	hsk
||area||place||space||room||territory||CL:處|处[chu4],個|个[ge4],塊|块[kuai4]	地方	hsk
||here|||<b>zhè lǐ</b>||variant of 這裡|这里[zhe4 li3]	这里	hsk
||to shout||to call||to order||to ask||to be called||by (indicates agent in the passive mood)|||<b>jiào</b>||variant of 叫[jiao4]	叫	hsk
||to come out||to appear||to arise	出来	hsk
||to get||to obtain||to receive	得到	hsk
||to circle||to go back||to turn around||to answer||to return||to revolve||Hui ethnic group (Chinese Muslims)||time||classifier for acts of a play||section or chapter (of a classic book)|||<b>huí</b>||to curve||to return||to revolve|||<b>huí</b>||variant of 迴|回[hui2]	回	hsk
||surname Shui|||<b>shuǐ</b>||water||river||liquid||beverage||additional charges or income||(of clothes) classifier for number of washes	水	hsk
||thing||stuff||person||CL:個|个[ge4],件[jian4]	东西	hsk
||cell phone||mobile phone||CL:部[bu4],支[zhi1]	手机	hsk
||telephone||CL:部[bu4]||phone call||CL:通[tong1]||phone number	电话	hsk
||to walk||to go||to travel||a visit||temporary||makeshift||current||in circulation||to do||to perform||capable||competent||effective||all right||OK!||will do||behavior||conduct||Taiwan pr. [xing4] for the behavior-conduct sense	行	hsk
||friend||CL:個|个[ge4],位[wei4]	朋友	hsk
||old variant of 拿[na2]|||<b>ná</b>||to hold||to seize||to catch||to apprehend||to take||(used in the same way as 把[ba3]: to mark the following noun as a direct object)|||<b>ná</b>||variant of 拿[na2]	拿	hsk
||you (plural)	你们	hsk
||road||CL:條|条[tiao2]||journey||route||line (bus etc)||sort||kind|||<b>Lù</b>||surname Lu	路	hsk
||China	中国	hsk
||school||CL:所[suo3]	学校	hsk
||else||other	别的	hsk
||preparation||to prepare||to intend||to be about to||reserve (fund)	准备	hsk
||currency unit (esp. Chinese yuan)||first||original||primary||fundamental||constituent||part||era (of a reign)||meta- (prefix)||(math.) argument||variable||(Tw) (geology) eon|||<b>Yuán</b>||surname Yuan||the Yuan or Mongol dynasty (1279-1368)	元	hsk
||just at (that time)||right in (that place)||right in the middle of (doing sth)	正在	hsk
||hour||CL:個|个[ge4]	小时	hsk
||some||somewhat	有些	hsk
||student||schoolchild	学生	hsk
||gate||door||CL:扇[shan4]||gateway||doorway||CL:個|个[ge4]||opening||valve||switch||way to do something||knack||family||house||(religious) sect||school (of thought)||class||category||phylum or division (taxonomy)||classifier for large guns||classifier for lessons, subjects, branches of technology||(suffix) -gate (i.e. scandal; derived from Watergate)|||<b>Mén</b>||surname Men	门	hsk
||those	那些	hsk
||flower||blossom||CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]||fancy pattern||florid||to spend (money, time)||(coll.) lecherous||lustful|||<b>huā</b>||old variant of 花[hua1]|||<b>Huā</b>||surname Hua|||<b>huā</b>||variant of 花[hua1]||flower||blossom||also pr. [wei3]	花	hsk
||surname Bie|||<b>bié</b>||to leave||to depart||to separate||to distinguish||to classify||other||another||don't ...!||to pin||to stick (sth) in	别	hsk
||surname Zuo|||<b>zuò</b>||to sit||to take a seat||to take (a bus, airplane etc)||to bear fruit||variant of 座[zuo4]	坐	hsk
||movie||film||CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]	电影	hsk
||between||among||within a definite time or space||room||section of a room or lateral space between two pairs of pillars||classifier for rooms	间	hsk
||yesterday	昨天	hsk
||laugh||smile||CL:個|个[ge4]|||<b>xiào</b>||old variant of 笑[xiao4]	笑	hsk
||woman	女人	hsk
||to introduce (sb to sb)||to give a presentation||to present (sb for a job etc)||introduction	介绍	hsk
||few||less||to lack||to be missing||to stop (doing sth)||seldom	少	hsk
||this year	今年	hsk
||house with more than 1 story||storied building||floor||CL:層|层[ceng2],座[zuo4],棟|栋[dong4]|||<b>Lóu</b>||surname Lou	楼	hsk
||hospital||CL:所[suo3],家[jia1],座[zuo4]	医院	hsk
||evening||night||CL:個|个[ge4]||in the evening	晚上	hsk
||a man||a male||men||CL:個|个[ge4]	男人	hsk
||to learn||to study	学习	hsk
||other people||others||other person	别人	hsk
||afternoon||CL:個|个[ge4]||p.m.	下午	hsk
||to know||to recognize||to be familiar with||to get acquainted with sb||knowledge||understanding||awareness||cognition	认识	hsk
||how much?||how many?||(phone number, student ID etc) what number?	多少	hsk
||difficult (to...)||problem||difficulty||difficult||not good	难	hsk
||teacher||husband||doctor (dialect)||CL:位[wei4]||Mister (Mr.)	先生	hsk
||heavy||serious||to attach importance to	重	hsk
||mama||mommy||mother||CL:個|个[ge4],位[wei4]	妈妈	hsk
||(noun suffix)	子	hsk
||car||automobile||bus||CL:輛|辆[liang4]	汽车	hsk
||the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism|||<b>dà xué</b>||university||college||CL:所[suo3]	大学	hsk
||son	儿子	hsk
||old variant of 幫|帮[bang1]|||<b>bāng</b>||old variant of 幫|帮[bang1]|||<b>bāng</b>||to help||to assist||to support||for sb (i.e. as a help)||hired (as worker)||side (of pail, boat etc)||outer layer||upper (of a shoe)||group||gang||clique||party||secret society	帮	hsk
||television||TV||CL:臺|台[tai2],個|个[ge4]	电视	hsk
||teacher||CL:個|个[ge4],位[wei4]	老师	hsk
||hundred||numerous||all kinds of|||<b>Bǎi</b>||surname Bai	百	hsk
||to return||to come back	回来	hsk
||dry||clean||in vain||dried food||foster||adoptive||to ignore|||<b>gān</b>||old variant of 乾|干[gan1]|||<b>Gān</b>||surname Gan|||<b>gān</b>||to concern||to interfere||shield||stem|||<b>gān</b>||variant of 乾|干[gan1]	干	hsk
||tree trunk||main part of sth||to manage||to work||to do||capable||cadre||to kill (slang)||to fuck (vulgar)||(coll.) pissed off||annoyed	干	hsk
||the body||one's health||CL:具[ju4],個|个[ge4]||in person	身体	hsk
||last year	去年	hsk
||to drink||variant of 嗬[he1]	喝	hsk
||online	网上	hsk
||to come||to arrive	来到	hsk
||to return home	回家	hsk
||doorway||gate||CL:個|个[ge4]	门口	hsk
||they||them (for females)	她们	hsk
||cup||trophy cup||classifier for certain containers of liquids: glass, cup|||<b>bēi</b>||variant of 杯[bei1]|||<b>bēi</b>||variant of 杯[bei1]||trophy cup||classifier for certain containers of liquids: glass, cup	杯	hsk
||how||which	哪	hsk
||always||ever||often||frequently||common||general||constant|||<b>Cháng</b>||surname Chang	常	hsk
||daughter	女儿	hsk
||surname Bao|||<b>bāo</b>||to cover||to wrap||to hold||to include||to take charge of||to contract (to or for)||package||wrapper||container||bag||to hold or embrace||bundle||packet||CL:個|个[ge4],隻|只[zhi1]	包	hsk
||computer||CL:臺|台[tai2]	电脑	hsk
||doctor||CL:個|个[ge4],位[wei4],名[ming2]	医生	hsk
||song||CL:支[zhi1],首[shou3]||to sing|||<b>gē</b>||variant of 歌[ge1]	歌	hsk
||mountain||hill||anything that resembles a mountain||CL:座[zuo4]||bundled straw in which silkworms spin cocoons||gable|||<b>Shān</b>||surname Shan	山	hsk
||there||that place|||<b>nà li</b>||there||that place||also written 那裡|那里	那里	hsk
||to return to	回到	hsk
||country||nation||state||national||CL:個|个[ge4]|||<b>Guó</b>||surname Guo	国	hsk
||home	家里	hsk
||name (of a person or thing)||CL:個|个[ge4]	名字	hsk
||surname Bai|||<b>bái</b>||white||snowy||pure||bright||empty||blank||plain||clear||to make clear||in vain||gratuitous||free of charge||reactionary||anti-communist||funeral||to stare coldly||to write wrong character||to state||to explain||vernacular||spoken lines in opera	白	hsk
||(there are) some (who are...)||some (exist)	有的	hsk
||house||building (single- or two-story)||apartment||room||CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]	房子	hsk
||tomorrow	明天	hsk
||to differ from||to fall short of||lacking||wrong||inferior||Taiwan pr. [cha1]	差	hsk
||in the car	车上	hsk
||to hear	听到	hsk
||at once||right away||immediately||on horseback (i.e. by military force)	马上	hsk
||clear||obvious||unequivocal||to understand||to realize	明白	hsk
||mistake||wrong||bad||interlocking||complex||to grind||to polish||to alternate||to stagger||to miss||to let slip||to evade||to inlay with gold or silver|||<b>Cuò</b>||surname Cuo	错	hsk
||to reply||to answer||the answer||CL:個|个[ge4]	回答	hsk
||happy||glad||willing (to do sth)||in a cheerful mood	高兴	hsk
||to go out	出去	hsk
||conscientious||earnest||serious||to take seriously||to take to heart	认真	hsk
||(informal) father||CL:個|个[ge4],位[wei4]	爸爸	hsk
||to see||to catch sight of	看见	hsk
||airplane||CL:架[jia4]	飞机	hsk
||where?||somewhere||anywhere||wherever||nowhere (negative answer to question)||humble expression denying compliment|||<b>nǎ lǐ</b>||where?||somewhere||anywhere||wherever||nowhere (negative answer to question)||humble expression denying compliment||also written 哪裡|哪里	哪里	hsk
||to teach	教	hsk
||one side||either side||on the one hand||on the other hand||doing while	一边	hsk
||east||host (i.e. sitting on east side of guest)||landlord|||<b>Dōng</b>||surname Dong	东	hsk
||to thank||thanks||thank you	谢谢	hsk
||to remember	记得	hsk
||surname Ban|||<b>bān</b>||team||class||squad||work shift||ranking||CL:個|个[ge4]||classifier for groups	班	hsk
||to speak||to say||to talk||to gossip||to tell stories||talk||word	说话	hsk
||best||(you) had better (do what we suggest)	最好	hsk
||to take an exam||exam||CL:次[ci4]	考试	hsk
||need not	不用	hsk
||to open||to show (a ticket)||to turn on||to switch on	打开	hsk
||south|||<b>Nán</b>||surname Nan	南	hsk
||mountain pass||to close||to shut||to turn off||to concern||to involve|||<b>Guān</b>||surname Guan	关	hsk
||to study at the same school||fellow student||classmate||CL:位[wei4],個|个[ge4]	同学	hsk
||clothes||CL:件[jian4],套[tao4]	衣服	hsk
||morning||CL:個|个[ge4]	上午	hsk
||to make a telephone call	打电话	hsk
||bed||couch||classifier for beds||CL:張|张[zhang1]|||<b>chuáng</b>||variant of 床[chuang2]	床	hsk
||rest||to rest	休息	hsk
||room||CL:間|间[jian1],個|个[ge4]	房间	hsk
||cold|||<b>Lěng</b>||surname Leng	冷	hsk
||early morning||CL:個|个[ge4]	早上	hsk
||movement||motion||action||CL:個|个[ge4]	动作	hsk
||knowledge||CL:門|门[men2]||intellectual	知识	hsk
||to have a meal||to eat||to make a living	吃饭	hsk
||weather	天气	hsk
||sick person||patient||invalid||CL:個|个[ge4]	病人	hsk
||left||the Left (politics)||east||unorthodox||queer||wrong||differing||opposite||variant of 佐[zuo3]|||<b>Zuǒ</b>||surname Zuo	左	hsk
||old man or woman||the elderly||one's aged parents or grandparents	老人	hsk
||household||(one's) family	家人	hsk
||half	一半	hsk
||tired||weary||to strain||to wear out||to work hard	累	hsk
||is or isn't||yes or no||whether or not	是不是	hsk
||hair||feather||down||wool||mildew||mold||coarse or semifinished||young||raw||careless||unthinking||nervous||scared||(of currency) to devalue or depreciate||classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])|||<b>Máo</b>||surname Mao	毛	hsk
||between||intermediate||mid||middle	中间	hsk
||on the road||on a journey||road surface	路上	hsk
||to return||to go back	回去	hsk
||place||site||location||venue||CL:個|个[ge4]	地点	hsk
||young lady||miss||(slang) prostitute||CL:個|个[ge4],位[wei4]	小姐	hsk
||to go to bed||to sleep	睡觉	hsk
||older sister||CL:個|个[ge4]	姐姐	hsk
||to go to work||to be on duty||to start work||to go to the office	上班	hsk
||lateral||side||to the side||beside	旁边	hsk
||worker||CL:個|个[ge4],名[ming2]	工人	hsk
||Beijing, capital of People's Republic of China||Peking||PRC government	北京	hsk
||to go in	进去	hsk
||college||educational institute||school||faculty||CL:所[suo3]	学院	hsk
||to meet||to see each other||CL:次[ci4]	见面	hsk
||to forget	忘记	hsk
||older brother||CL:個|个[ge4],位[wei4]	哥哥	hsk
||schoolgirl||female student||girl	女生	hsk
||birthday||CL:個|个[ge4]	生日	hsk
||noon||midday||CL:個|个[ge4]	中午	hsk
||on the ground||on the floor	地上	hsk
||nothing||it doesn't matter||it's nothing||never mind	没什么	hsk
||next year	明年	hsk
||sometimes	有时候	hsk
||week||CL:個|个[ge4]||day of the week||Sunday	星期	hsk
||to come in	进来	hsk
||airport||airfield||(slang) service provider for Shadowsocks or similar software for circumventing Internet censorship||CL:家[jia1],處|处[chu4]	机场	hsk
||frequently||often	常常	hsk
||to be at home||(at a workplace) to be in (as opposed to being away on official business 出差[chu1 chai1])||(Buddhism etc) to remain a layman (as opposed to becoming a monk or a nun 出家[chu1 jia1])	在家	hsk
||a moment||a while||in a moment||now...now...||also pr. [yi1 hui3 r5]	一会儿	hsk
||younger sister||young woman||CL:個|个[ge4]	妹妹	hsk
||abroad||external (affairs)||overseas||foreign	国外	hsk
||train||CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]	火车	hsk
||younger brother||CL:個|个[ge4],位[wei4]	弟弟	hsk
||elementary school||primary school||CL:個|个[ge4]	小学	hsk
||unworthy||to let down||I'm sorry||excuse me||pardon me||if you please||sorry? (please repeat)	对不起	hsk
||university student||college student	大学生	hsk
||to read a book||to study||to attend school	读书	hsk
||to help||to lend a hand||to do a favor||to do a good turn	帮忙	hsk
||here	这儿	hsk
||to drive a car	开车	hsk
||clean||neat	干净	hsk
||to go to school||to attend school	上学	hsk
||foreign (country)||CL:個|个[ge4]	外国	hsk
||good-looking||nice-looking||good (of a movie, book, TV show etc)||embarrassed||humiliated	好看	hsk
||to get angry||to take offense||angry||vitality||liveliness	生气	hsk
||date||CL:個|个[ge4]	日期	hsk
||breast||milk||to breastfeed|||<b>nǎi</b>||mother||variant of 奶[nai3]|||<b>nǎi</b>||variant of 嬭|奶[nai3]	奶	hsk
||schoolboy||male student||boy||guy (young adult male)	男生	hsk
||incorrect||wrong||amiss||abnormal||queer	不对	hsk
||where?||wherever||anywhere	哪儿	hsk
||middle school||CL:個|个[ge4]	中学	hsk
||to go online||to connect to the Internet||(of a document etc) to be uploaded to the Internet||(tennis, volleyball etc) to move in close to the net	上网	hsk
||not very||not too||not often	不大	hsk
||(informal) grandma (paternal grandmother)||(respectful) mistress of the house||CL:位[wei4]||(coll.) boobies||breasts	奶奶	hsk
||over there||yonder	那边	hsk
||to go to class||to attend class||to go to teach a class	上课	hsk
||online friend||Internet user	网友	hsk
||which ones?||who?||what?	哪些	hsk
||to remember||to bear in mind||to learn by heart	记住	hsk
||fruit||CL:個|个[ge4]	水果	hsk
||map||CL:張|张[zhang1],本[ben3]	地图	hsk
||restaurant||hotel||CL:家[jia1],個|个[ge4]	饭店	hsk
||to sing a song	唱歌	hsk
||what are you doing?||what's he up to?	干什么	hsk
||(coll.) father's father||paternal grandfather||CL:個|个[ge4]	爷爷	hsk
||daytime||during the day||day||CL:個|个[ge4]	白天	hsk
||cow's milk||CL:瓶[ping2],杯[bei1]	牛奶	hsk
||store||shop||CL:家[jia1],個|个[ge4]	商店	hsk
||this side||here	这边	hsk
||there	那儿	hsk
||girlfriend	女朋友	hsk
||to hear	听见	hsk
||shopping mall||shopping center||department store||emporium||CL:家[jia1]||the business world	商场	hsk
||last time	上次	hsk
||to finish work||to get off work	下班	hsk
||New Year||CL:個|个[ge4]	新年	hsk
||to get out of bed||to get up	起床	hsk
||library||CL:家[jia1],個|个[ge4]	图书馆	hsk
||Chinese language	中文	hsk
||goodbye||see you again later	再见	hsk
||table||desk||CL:張|张[zhang1],套[tao4]	桌子	hsk
||rail station||bus stop||CL:處|处[chu4],個|个[ge4]	车站	hsk
||Excuse me, may I ask...?	请问	hsk
||(chicken) egg||hen's egg||CL:個|个[ge4],打[da2]	鸡蛋	hsk
||tasty||delicious	好吃	hsk
||street||road||CL:條|条[tiao2]	马路	hsk
||next time	下次	hsk
||boyfriend	男朋友	hsk
||downstairs	楼下	hsk
||to play a joke||to make fun of||to joke	开玩笑	hsk
||to sit down	坐下	hsk
||to take a taxi (in town)||to hitch a lift	打车	hsk
||right side||right, to the right	右边	hsk
||ticket (for theater, cinema etc)	门票	hsk
||to hold a meeting||to attend a meeting	开会	hsk
||child||CL:個|个[ge4]	小朋友	hsk
||to like||to take pleasure in||keen on||fond of||interest||hobby||appetite for||CL:個|个[ge4]	爱好	hsk
||evening meal||dinner||supper||CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]	晚饭	hsk
||to get off or out of (a bus, train, car etc)	下车	hsk
||crossing||intersection (of roads)	路口	hsk
||to get on or into (a bus, train, car etc)	上车	hsk
||to walk||to go on foot	走路	hsk
||air ticket||passenger ticket||CL:張|张[zhang1]	机票	hsk
||bread||CL:片[pian4],袋[dai4],塊|块[kuai4]	面包	hsk
||it doesn't matter	没关系	hsk
||half a year	半年	hsk
||left||the left side||to the left of	左边	hsk
||upstairs||(Internet slang) previous poster in a forum thread	楼上	hsk
||to fall ill	生病	hsk
||teaching block||school building	教学楼	hsk
||half of the day||a long time||quite a while||midair||CL:個|个[ge4]	半天	hsk
||erhua variant of 一點|一点[yi1 dian3]	一点儿	hsk
||useful	有用	hsk
||famous||well-known	有名	hsk
||to play ball||to play with a ball	打球	hsk
||purse||wallet	钱包	hsk
||pleasant to hear	好听	hsk
||to rain	下雨	hsk
||lunch||CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]	午饭	hsk
||bookstore||CL:家[jia1]	书店	hsk
||erhua variant of 女孩[nu:3 hai2]	女孩儿	hsk
||television set||CL:臺|台[tai2]	电视机	hsk
||to visit a doctor||to see a patient	看病	hsk
||the day before yesterday	前天	hsk
||to play||to have fun||to hang out	玩儿	hsk
||to have a holiday or vacation	放假	hsk
||foreign language||CL:門|门[men2]	外语	hsk
||Chinese language||CL:門|门[men2]	汉语	hsk
||ticket (for a bus or train)	车票	hsk
||to dismiss students at the end of the school day	放学	hsk
||to close (a door)||to turn off (light, electrical equipment etc)	关上	hsk
||Sunday||CL:個|个[ge4]	星期天	hsk
||cup||glass||CL:個|个[ge4],隻|只[zhi1]	杯子	hsk
||to have spare time||free from work||it's not important||it's nothing||never mind	没事儿	hsk
||cinema||movie theater||CL:家[jia1],座[zuo4]	电影院	hsk
||breakfast||CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]	早饭	hsk
||primary school student||schoolchild||CL:個|个[ge4],名[ming2]||(fig.) beginner	小学生	hsk
